# ----------------------------------------
# Curious
# Curious Data Export MASTER-Free-form 1
# 20250127-20250130
# ----------------------------------------

Date + hour (YYYYMMDDHH),Landing page + query string,Page title,Session source,Browser,Views,Views per session,Views per active user,Average engagement time per session
,,,,,117,3,9,35.30769230769231,Grand total
2025012710,/2054/get-started.html,Get Started | Sealife Adventure,(direct),Safari,1,1,1,0
2025012710,/2054/index.html?exhibit-id=W1,Scan a QR code to start,(direct),Safari,1,1,1,0
2025012710,/2054/index.html?exhibit-id=W1,Scan to Start | Sealife Adventure,(direct),Safari,0,0,0,7
2025012711,/2054/get-started.html,Get Started | Sealife Adventure,(direct),Safari,0,0,0,4
2025012714,/2054/get-started.html,Get Started | Sealife Adventure,(direct),Safari,1,1,1,0
2025012816,/2054/index.html?EID=W4,(not set),(direct),Safari,1,1,1,0
2025012816,/2054/index.html?EID=W4,Get Started | Sealife Adventure,(direct),Safari,0,0,0,26
2025012816,/2054/index.html?EID=W4,Scan a QR code to start,(direct),Safari,1,1,1,0
2025012816,/2054/index.html?EID=W4,Scan to Start | Sealife Adventure,(direct),Safari,0,0,0,42
2025012915,/2054/index.html?EID=WW4,Explore: Whitewater 4,(direct),Safari,1,1,1,7
2025012915,/2054/index.html?EID=WW4&OID=40,(not set),(direct),Safari,1,1,1,0
2025012915,/2054/index.html?EID=WW4&OID=40,Factfile: Red Bellied Piranha,(direct),Safari,0,0,0,1
2025012916,/2054/index.html?EID=W4,(not set),(direct),Chrome,2,2,2,0
2025012916,/2054/index.html?EID=W4,Explore: Squirels,(direct),Chrome,1,1,1,7
2025012916,/2054/index.html?EID=W4,Profile: Archimedies,(direct),Chrome,0,0,0,14
2025012918,/2054/index.html?EID=W4&OID=144A,(not set),(direct),Chrome,1,1,1,0
2025013008,/2054/index.html?EID=OC1,(not set),(direct),Safari,2,2,2,0
2025013008,/2054/index.html?EID=OC1,Explore: Dump Tank,(direct),Safari,1,1,1,5
2025013008,/2054/index.html?EID=OC1,Explore: Ocean,(direct),Safari,0,0,0,55
2025013008,/2054/index.html?EID=OC1,Profile: Floop,(direct),Safari,0,0,0,4
2025013008,/2054/index.html?EID=S1,(not set),(direct),Chrome,1,1,1,0
2025013008,/2054/index.html?EID=S4,(not set),(direct),Chrome,3,3,3,0
2025013009,/2054/index.html?EID=TH2,(not set),(direct),Safari,1,1,1,0
2025013010,/2054/index.html?EID=C5,(not set),(direct),Safari,1,1,1,0
2025013010,/2054/index.html?EID=C5,Explore: Dump Tank,(direct),Safari,1,1,1,1
2025013010,/2054/index.html?EID=C5,Explore: Whitewater 4,(direct),Safari,0,0,0,1
2025013010,/2054/index.html?EID=S1,(not set),(direct),Chrome,1,1,1,0
2025013010,/2054/index.html?EID=TH8,(not set),(direct),Safari,1,1,1,0
2025013010,/2054/index.html?EID=TH8,Explore: Emgergance Hut,(direct),Safari,1,1,1,2
2025013014,/2054/index.html?EID=1,(not set),(direct),Safari,2,2,2,0
2025013014,/2054/index.html?EID=1,Get Started | Sealife Adventure,(direct),Safari,1,1,1,0
2025013014,/2054/index.html?EID=1,Listen: Plant Room | Sealife Adventure,(direct),Safari,1,0.5,0.5,76
2025013015,/2054/index.html?EID=1,(not set),(direct),Safari,2,2,2,0
2025013015,/2054/index.html?EID=C2,(not set),(direct),Safari,1,1,1,0
2025012706,/2054/notice.html,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,7,7,7,0
2025012706,/2054/notice.html,Curious | Analytics,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,1
2025012706,/2054/notice.html,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,14
